"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên chiến dịch","Lượt phân phối chiến dịch","Cài đặt ghi nhận","Kết quả","Chỉ báo kết quả","Người tiếp cận","Tần suất","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Kết thúc","Lượt hiển thị","CPM (Chi phí trên mỗi 1.000 lượt hiển thị) (VND)","Lượt click vào liên kết",shop_clicks,"CPC (chi phí trên mỗi lượt click vào liên kết) (VND)","CTR (tỷ lệ click vào liên kết)","Lượt click (tất cả)","CTR (Tất cả)","CPC (tất cả) (VND)","Lượt xem trang đích","Chi phí trên mỗi lượt xem trang đích (VND)"
2026-04-21,2026-04-21,"[14/4/2026] Quảng cáo Chic-Land",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,52934,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-21,2026-04-21,MuseStudio-damthietkeevii-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-21,2026-04-21,MuseStudio-chanvayrenngan-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-21,2026-04-21,MuseStudio-quanchunbong-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-21,2026-04-21,MuseStudio-dephaiquaidecai-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-21,2026-04-21,MuseStudio-guocmikatrong-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-21,2026-04-21,MuseStudio-depbanhminuhappy-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-21,2026-04-21,MuseStudio-giaycaogot5pphoino-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-21,2026-04-21,MuseStudio-guoccaogotmuivuong-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-21,2026-04-21,MuseStudio-SetBoHePhoiSocDo-0416,active,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",210,actions:link_click,4735,1.131362,717.79047619,"Sử dụng ngân sách nhóm quảng cáo",0,150736,"Đang diễn ra",5357,28138.137017,210,,717.790476,3.920105,301,5.618817,500.784053,2,75368
2026-04-21,2026-04-21,MuseStudio-AoKhoacDoSantin-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-21,2026-04-21,MuseStudio-dambodynuluatochau,active,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",252,actions:link_click,4820,1.056432,578.59126984,"Sử dụng ngân sách nhóm quảng cáo",0,145805,"Đang diễn ra",5092,28634.131972,252,,578.59127,4.94894,369,7.246661,395.135501,,
2026-04-21,2026-04-21,MuseStudio-chanvayrendai,active,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",331,actions:link_click,5223,1.118131,362.58912387,150500,"Hàng ngày",120017,"Đang diễn ra",5840,20550.856164,331,,362.589124,5.667808,501,8.578767,239.55489,,
