"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên chiến dịch","Lượt phân phối chiến dịch","Kết quả","Chỉ báo kết quả","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Lượt hiển thị","Người tiếp cận","Kết thúc","Cài đặt ghi nhận"
2026-04-17,2026-04-17,MuseStudio-quanchunbong-0416,not_delivering,178,actions:link_click,496.23033708,"Sử dụng ngân sách nhóm quảng cáo",0,88329,4312,3961,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"
2026-04-17,2026-04-17,MuseStudio-SetBoHePhoiSocDo-0416,active,127,actions:link_click,699.59055118,"Sử dụng ngân sách nhóm quảng cáo",0,88848,3058,2714,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"
