"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên nhóm quảng cáo","Phân phối nhóm quảng cáo","Kết quả","Chỉ báo kết quả","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Lượt hiển thị","Người tiếp cận","Kết thúc","Bắt đầu","Cài đặt ghi nhận","Giá thầu","Loại giá thầu","Lượt chỉnh sửa quan trọng gần đây nhất"
2026-04-18,2026-04-18,MuseStudio-quanchunbong-0416,inactive,64,actions:link_click,484.203125,107500,"Hàng ngày",30989,1386,1312,"Đang diễn ra",2026-04-15,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-15T21:56:36+0700
2026-04-18,2026-04-18,MuseStudio-SetBoHePhoiSocDo-0416,active,181,actions:link_click,563.56353591,107500,"Hàng ngày",102005,3551,3245,"Đang diễn ra",2026-04-15,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-15T21:56:34+0700
