"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên chiến dịch","Lượt phân phối chiến dịch","Cài đặt ghi nhận","Kết quả","Chỉ báo kết quả","Người tiếp cận","Tần suất","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Kết thúc","Lượt hiển thị","CPM (Chi phí trên mỗi 1.000 lượt hiển thị) (VND)","Lượt click vào liên kết",shop_clicks,"CPC (chi phí trên mỗi lượt click vào liên kết) (VND)","CTR (tỷ lệ click vào liên kết)","Lượt click (tất cả)","CTR (Tất cả)","CPC (tất cả) (VND)","Lượt xem trang đích","Chi phí trên mỗi lượt xem trang đích (VND)"
2026-04-18,2026-04-18,"[14/4/2026] Quảng cáo Chic-Land",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,52934,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,MuseStudio-damthietkeevii-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,MuseStudio-chanvayrenngan-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,MuseStudio-quanchunbong-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",64,actions:link_click,1312,1.056402,484.203125,"Sử dụng ngân sách nhóm quảng cáo",0,30989,"Đang diễn ra",1386,22358.585859,64,,484.203125,4.617605,91,6.565657,340.538462,1,30989
2026-04-18,2026-04-18,MuseStudio-dephaiquaidecai-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,MuseStudio-guocmikatrong-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,MuseStudio-depbanhminuhappy-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,MuseStudio-giaycaogot5pphoino-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,MuseStudio-guoccaogotmuivuong-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,MuseStudio-SetBoHePhoiSocDo-0416,not_delivering,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",181,actions:link_click,3260,1.092945,565.4640884,"Sử dụng ngân sách nhóm quảng cáo",0,102349,"Đang diễn ra",3563,28725.512209,181,,565.464088,5.079989,258,7.241089,396.70155,,
2026-04-18,2026-04-18,MuseStudio-AoKhoacDoSantin-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
