"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên chiến dịch","Lượt phân phối chiến dịch","Kết quả","Chỉ báo kết quả","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Lượt hiển thị","Người tiếp cận","Kết thúc","Cài đặt ghi nhận"
2026-04-17,2026-04-17,MuseStudio-aotodinhdaxanhdamdaitay-0412,active,1257,actions:link_click,571.40731901,"Sử dụng ngân sách nhóm quảng cáo",0,718259,32289,30893,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"
2026-04-17,2026-04-17,dammaxi-0412,active,777,actions:link_click,521.23809524,"Sử dụng ngân sách nhóm quảng cáo",0,405002,14471,13281,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"
2026-04-17,2026-04-17,vaykhongtaycochuv-0412,active,426,actions:link_click,787.87558685,"Sử dụng ngân sách nhóm quảng cáo",0,335635,14515,13141,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"
