"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên nhóm quảng cáo","Phân phối nhóm quảng cáo","Kết quả","Chỉ báo kết quả","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Lượt hiển thị","Người tiếp cận","Kết thúc","Bắt đầu","Cài đặt ghi nhận","Giá thầu","Loại giá thầu","Lượt chỉnh sửa quan trọng gần đây nhất"
2026-04-20,2026-04-20,MuseStudio-SetBoHePhoiSocDo-0416,active,129,actions:link_click,645.86046512,157500,"Hàng ngày",83316,2190,1997,"Đang diễn ra",2026-04-15,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-15T21:56:34+0700
2026-04-20,2026-04-20,MuseStudio-dambodynuluatochau,active,90,actions:link_click,523.6,200500,"Hàng ngày",47124,1537,1472,"Đang diễn ra",2026-04-20,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-20T16:24:40+0700
2026-04-20,2026-04-20,MuseStudio-chanvayrendai,active,9,actions:link_click,602.22222222,"Sử dụng ngân sách chiến dịch",0,5420,131,126,"Đang diễn ra",2026-04-20,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-20T16:28:45+0700
