"Tên chiến dịch","Tên nhóm quảng cáo","Tên quảng cáo","Trạng thái phân phối","Cấp độ phân phối","Người tiếp cận","Lượt hiển thị","Tần suất","Cài đặt ghi nhận","Loại kết quả","Kết quả","Số tiền đã chi tiêu (VND)","Chi phí trên mỗi kết quả","Bắt đầu","Kết thúc","Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo"
"Gia Dụng - Máy đun nước -25-8","Gia Dụng - Máy đun nước -25-8","Gia Dụng - Máy đun nước -25-8",not_delivering,ad,16232,16731,1.03074174,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày","Lượt click vào liên kết",661,407151,615.96217852,2025-08-25,"Đang diễn ra",2025-10-17,2025-10-17
"Máy Đọc Sách","Máy Đọc Sách","Máy Đọc Sách",not_delivering,ad,5559,5820,1.04695089,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày","Lượt click vào liên kết",147,130146,885.34693878,2025-10-07,"Đang diễn ra",2025-10-17,2025-10-17
"RoBot Lau Kính 1014","RoBot Lau Kính 1014","RoBot Lau Kính 1014",not_delivering,ad,4465,4620,1.03471445,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày","Lượt click vào liên kết",171,93098,544.43274854,2025-10-14,"Đang diễn ra",2025-10-17,2025-10-17
"Máy Tiệt Trùng 1015","Máy Tiệt Trùng 1015","Máy Tiệt Trùng 1015",not_delivering,ad,4082,4343,1.06393925,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày","Lượt click vào liên kết",255,66686,261.51372549,2025-10-15,"Đang diễn ra",2025-10-17,2025-10-17
"Hộp Đựng Ổ Cứng 1014","Hộp Đựng Ổ Cứng 1014","Hộp Đựng Ổ Cứng 1014",not_delivering,ad,2695,2904,1.07755102,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày","Lượt click vào liên kết",145,47551,327.93793103,2025-10-14,"Đang diễn ra",2025-10-17,2025-10-17
