"Tên chiến dịch","Tên nhóm quảng cáo","Tên quảng cáo","Trạng thái phân phối","Cấp độ phân phối","Người tiếp cận","Lượt hiển thị","Tần suất","Cài đặt ghi nhận","Loại kết quả","Kết quả","Số tiền đã chi tiêu (VND)","Chi phí trên mỗi kết quả","Bắt đầu","Kết thúc","Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo"
"Gia Dụng - Máy đun nước -25-8","Gia Dụng - Máy đun nước -25-8","Gia Dụng - Máy đun nước -25-8",not_delivering,ad,14996,15499,1.03354228,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày","Lượt click vào liên kết",589,392028,665.58234295,2025-08-25,"Đang diễn ra",2025-09-11,2025-09-11
"Gia Dụng - Máy đun nước -25-8","Gia Dụng - Máy đun nước -25-8 - Bản sao 1","Gia Dụng - Máy đun nước -25-8",not_delivering,ad,6532,6594,1.00949173,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày","Lượt click vào liên kết",369,186666,505.8699187,2025-09-11,"Đang diễn ra",2025-09-11,2025-09-11
"Gia Dụng - Máy đun nước -25-8","Gia Dụng - Máy đun nước -25-8 - Bản sao 2","Gia Dụng - Máy đun nước -25-8",not_delivering,ad,4272,4272,1,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày","Lượt click vào liên kết",205,121627,593.30243902,2025-09-11,"Đang diễn ra",2025-09-11,2025-09-11
"Ca đa năng 0409","Ca đa năng 0409","Ca đa năng 0409",not_delivering,ad,2138,2146,1.00374181,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày","Lượt click vào liên kết",79,53447,676.5443038,2025-09-04,"Đang diễn ra",2025-09-11,2025-09-11
"Ca đa năng 0409","Ca đa năng 0409 - Bản sao","Ca đa năng 0409",not_delivering,ad,844,865,1.02488152,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày","Lượt click vào liên kết",31,19261,621.32258065,2025-09-11,"Đang diễn ra",2025-09-11,2025-09-11
"Ca đa năng 0409","Ca đa năng 0409 - Bản sao","Ca đa năng 0409",not_delivering,ad,679,696,1.02503682,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày","Lượt click vào liên kết",24,16664,694.33333333,2025-09-11,"Đang diễn ra",2025-09-11,2025-09-11
"Ca đa năng 0409","Ca đa năng 0409 - Bản sao","Ca đa năng 0409",not_delivering,ad,479,497,1.03757829,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày","Lượt click vào liên kết",18,13724,762.44444444,2025-09-11,"Đang diễn ra",2025-09-11,2025-09-11
