"Tên chiến dịch","Tên nhóm quảng cáo","Tên quảng cáo","Trạng thái phân phối","Cấp độ phân phối","Người tiếp cận","Lượt hiển thị","Tần suất","Cài đặt ghi nhận","Loại kết quả","Kết quả","Số tiền đã chi tiêu (VND)","Chi phí trên mỗi kết quả","Bắt đầu","Kết thúc","Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo"
"Gia Dụng - Máy đun nước -25-8","Gia Dụng - Máy đun nước -25-8 - Bản sao 2","Gia Dụng - Máy đun nước -25-8",not_delivering,ad,20131,21145,1.05037008,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày","Lượt click vào liên kết",1026,531935,518.45516569,2025-09-11,"Đang diễn ra",2025-09-26,2025-09-26
"Gia Dụng - Máy đun nước -25-8","Gia Dụng - Máy đun nước -25-8","Gia Dụng - Máy đun nước -25-8",not_delivering,ad,4860,4898,1.00781893,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày","Lượt click vào liên kết",249,118650,476.5060241,2025-08-25,"Đang diễn ra",2025-09-26,2025-09-26
