"Tên chiến dịch","Tên nhóm quảng cáo","Tên quảng cáo","Trạng thái phân phối","Cấp độ phân phối","Người tiếp cận","Lượt hiển thị","Tần suất","Cài đặt ghi nhận","Loại kết quả","Kết quả","Số tiền đã chi tiêu (VND)","Chi phí trên mỗi kết quả","Bắt đầu","Kết thúc","Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo"
"Gia Dụng - Máy đun nước -25-8","Gia Dụng - Máy đun nước -25-8","Gia Dụng - Máy đun nước -25-8",not_delivering,ad,42155,45296,1.07451073,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày","Lượt click vào liên kết",1711,1206623,705.2150789,2025-08-25,"Đang diễn ra",2025-09-09,2025-09-09
"Ca đa năng 0409","Ca đa năng 0409","Ca đa năng 0409",not_delivering,ad,1777,1877,1.05627462,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày","Lượt click vào liên kết",55,47221,858.56363636,2025-09-04,"Đang diễn ra",2025-09-09,2025-09-09
